risk_tier,count,avg_pd,actual_default_rate
Very Low,122,0.04124754098360656,0.01639344262295082
Low,1676,0.09072476133651551,0.017899761336515514
Medium,4313,0.17352339438905634,0.03732900533271505
High,7888,0.2886514198782961,0.06630324543610548
Very High,33192,0.5738520938780429,0.1878464690286816
